"20231184","Audrey Wells","3.3","First","IT"
"20231159","Savannah Tate","3.9","Third","IT"
"20231176","Levi Grant","3.4","Fourth","CS"
"20231183","Nathan Bishop","2.2","Second","DS"
"20231160","Dylan Rose","3.2","Fourth","AI"
"20231152","Xavier Lane","2.8","Fourth","CS"
"20231170","Elijah Hughes","3.7","Fourth","CS"
"20231157","Scarlett Stone","3.8","First","CS"
"20231147","Hazel James","3.7","First","DS"
"20231145","Penelope Scott","2.9","Third","IT"
"20231162","Leo Barnes","3.5","First","CS"
"20231148","Wyatt Chapman","3.2","First","IT"
"20231187","Julian Rhodes","2.8","Fourth","IS"
"20231189","Harper Flynn","3.4","First","AI"
"20231178","Colton Maxwell","2.1","Fourth","IT"
"20231188","Madeline Ford","1.7","Third","DS"
"20231169","Stella Greene","2.0","Third","AI"
"20231156","Hunter Walsh","3.4","Second","DS"
"20231172","Jasper Cross","1.6","Third","IS"
"20231161","Violet Day","2.4","Fourth","DS"
"20231144","Mason Carter","3.8","Second","CS"
"20231158","Caleb Morris","2.6","Fourth","IS"
"20231168","Henry Morgan","2.5","Second","DS"
"20231142","Ezra Spencer","3.3","Third","DS"
"20231141","Nolan Barrett","2.1","Second","DS"
